start_ts,end_ts,retracement_score,pivot_count,abs_angle_deg,direction,cluster
1576044000000,1576068300000,1.0,4,48.61,1.0,1
1576082700000,1576097100000,0.73,4,41.16,-1.0,1
1576116900000,1576138500000,0.73,4,32.57,-1.0,1
1576138500000,1576184400000,0.73,4,63.21,1.0,3
1576190700000,1576210500000,1.88,4,56.08,1.0,0
1576218600000,1576254600000,3.91,8,61.05,1.0,2
1576262700000,1576287900000,3.26,6,49.79,1.0,2
1576287900000,1576369800000,3.43,8,60.57,-1.0,2
1576369800000,1576395900000,2.88,4,63.03,1.0,0
1576395900000,1576413000000,1.12,4,59.3,-1.0,3
1576413000000,1576441800000,0.51,4,58.11,1.0,3
1576441800000,1576469700000,1.12,4,63.06,-1.0,3
1576469700000,1576504800000,1.61,4,34.55,1.0,1
1576504800000,1576521000000,3.0,4,63.43,-1.0,0
1576539000000,1576553400000,2.0,4,63.43,-1.0,0
1576572300000,1576584000000,2.0,4,44.68,1.0,1
1576602900000,1576623600000,0.24,4,60.82,-1.0,3
1576630800000,1576674900000,3.0,4,49.69,-1.0,0
1576727100000,1576747800000,1.61,4,53.96,-1.0,3
1576763100000,1576784700000,0.63,4,54.88,1.0,3
1576802700000,1576829700000,0.67,4,63.43,1.0,3
1576830600000,1576854000000,1.12,4,61.36,1.0,3
1576858500000,1576872900000,1.12,4,62.37,1.0,3
1576901700000,1576920600000,1.12,4,62.88,-1.0,3
1576920600000,1576962900000,0.16,6,63.19,1.0,3
1576980000000,1576995300000,1.0,4,31.85,-1.0,1
1577015100000,1577041200000,2.61,4,63.03,1.0,0
1577151000000,1577167200000,0.51,4,45.02,1.0,1
1577235600000,1577249100000,0.24,4,54.27,1.0,3
1577259900000,1577275200000,1.88,4,62.74,-1.0,0
1577312100000,1577349000000,0.73,4,47.43,1.0,1
1577349000000,1577361600000,2.0,4,63.43,-1.0,0
1577399400000,1577412000000,1.12,4,55.01,1.0,3
1577412000000,1577447100000,3.0,4,58.71,-1.0,0
1577582100000,1577609100000,2.88,4,63.43,1.0,0
1577612700000,1577636100000,1.12,4,60.45,1.0,3
1577658600000,1577710800000,0.73,4,42.21,-1.0,1
1577786400000,1577803500000,2.61,4,56.8,1.0,0
