start_ts,end_ts,retracement_score,pivot_count,abs_angle_deg,direction,cluster
1577815200000,1577890800000,1.0,4,52.64,1.0,0
1577890800000,1578016800000,3.0,4,55.21,-1.0,3
1578088800000,1578196800000,0.73,4,56.84,1.0,0
1578196800000,1578265200000,0.73,4,51.34,-1.0,1
1578315600000,1578441600000,2.0,4,59.07,1.0,3
1578895200000,1579093200000,3.18,6,63.23,1.0,2
1579093200000,1579143600000,0.73,4,63.43,-1.0,0
1579143600000,1579255200000,1.61,4,63.06,1.0,0
1579269600000,1579402800000,1.11,6,49.82,1.0,1
1579579200000,1579633200000,2.61,4,54.91,-1.0,3
1579914000000,1579986000000,0.73,4,50.08,1.0,1
1579996800000,1580220000000,3.89,6,56.79,1.0,2
1580616000000,1580691600000,1.0,4,62.88,1.0,0
1581073200000,1581130800000,1.0,4,63.43,-1.0,0
1581130800000,1581292800000,0.89,4,63.18,1.0,0
1581462000000,1581577200000,-0.77,6,37.78,1.0,1
1581822000000,1581948000000,1.23,6,55.0,-1.0,2
1581948000000,1582131600000,3.51,6,58.68,1.0,2
1582452000000,1582509600000,1.61,4,63.43,-1.0,0
1582567200000,1582632000000,0.18,4,33.56,1.0,1
1583186400000,1583251200000,1.0,4,63.43,-1.0,0
1583251200000,1583409600000,1.55,4,62.27,1.0,0
1583874000000,1584064800000,2.61,4,62.62,-1.0,3
1584140400000,1584226800000,1.0,4,46.53,-1.0,1
1584226800000,1584306000000,0.73,4,56.8,1.0,0
1584734400000,1584824400000,-0.39,6,51.44,1.0,1
1584824400000,1584921600000,1.12,4,58.42,-1.0,0
1584921600000,1585008000000,2.61,4,60.15,1.0,3
1585062000000,1585126800000,0.73,4,62.51,1.0,0
1585267200000,1585414800000,3.63,6,63.15,-1.0,2
1585846800000,1585929600000,0.51,4,62.46,-1.0,0
1585929600000,1586030400000,0.73,4,61.87,1.0,0
1586325600000,1586433600000,0.11,6,60.88,-1.0,0
1586440800000,1586530800000,2.88,4,62.97,-1.0,3
1586545200000,1586635200000,0.67,4,58.81,-1.0,0
1586635200000,1586710800000,2.61,4,52.87,1.0,3
1586736000000,1586836800000,0.73,4,49.34,1.0,1
1586883600000,1586995200000,2.88,4,54.85,-1.0,3
1587128400000,1587247200000,1.11,6,63.08,1.0,2
1587304800000,1587355200000,0.24,4,49.26,1.0,1
1587412800000,1587488400000,0.24,4,44.4,1.0,1
1587513600000,1587650400000,3.0,4,62.21,1.0,3
1587650400000,1587736800000,0.63,4,46.65,-1.0,1
1587736800000,1587826800000,1.88,4,62.97,1.0,3
1587830400000,1587906000000,3.0,4,61.66,1.0,3
1588028400000,1588086000000,0.24,4,59.4,-1.0,0
1588348800000,1588435200000,1.12,4,53.23,1.0,0
1588467600000,1588518000000,0.73,4,63.43,-1.0,0
1588568400000,1588654800000,2.26,4,63.43,1.0,3
1588672800000,1588892400000,1.88,4,59.19,1.0,3
1588950000000,1589068800000,3.0,4,62.48,-1.0,3
1589126400000,1589198400000,1.0,4,61.01,1.0,0
1589317200000,1589403600000,3.0,4,48.84,1.0,3
1589605200000,1589652000000,0.73,4,59.04,-1.0,0
1589652000000,1589763600000,4.0,6,63.06,1.0,2
1589788800000,1589839200000,0.51,4,50.01,1.0,1
1590364800000,1590480000000,1.36,6,49.18,1.0,1
1590508800000,1590624000000,1.38,4,54.28,1.0,0
1593435600000,1593619200000,0.11,6,56.37,1.0,0
1593619200000,1593676800000,1.0,4,34.35,-1.0,1
1593766800000,1593882000000,1.55,4,56.7,1.0,0
1594216800000,1594306800000,2.88,4,62.97,-1.0,3
1594458000000,1594515600000,1.0,4,63.43,1.0,0
1594580400000,1594641600000,0.63,4,62.26,1.0,0
1594746000000,1594836000000,1.0,4,55.94,-1.0,0
1594893600000,1594987200000,1.0,4,56.4,1.0,0
1594987200000,1595037600000,0.24,4,46.59,-1.0,1
1595152800000,1595336400000,1.11,6,63.21,1.0,2
1595512800000,1595707200000,-1.66,8,30.91,1.0,1
1595725200000,1595818800000,0.51,4,48.47,1.0,1
1598698800000,1598832000000,4.0,8,59.23,1.0,2
1598976000000,1599328800000,5.26,10,63.43,-1.0,2
1599692400000,1599746400000,0.73,4,62.65,1.0,0
1599746400000,1599796800000,1.12,4,63.43,-1.0,0
1599796800000,1599933600000,1.0,4,55.6,1.0,0
1600016400000,1600135200000,1.38,4,60.07,1.0,0
1600171200000,1600214400000,0.24,4,57.64,-1.0,0
1600214400000,1600516800000,3.61,10,50.27,1.0,2
1600516800000,1600570800000,2.0,4,61.82,-1.0,3
1600585200000,1600696800000,2.55,4,59.17,-1.0,3
1600808400000,1600891200000,1.61,4,62.93,-1.0,0
1603731600000,1604138400000,1.59,10,58.72,1.0,2
1604318400000,1604415600000,0.24,4,53.16,1.0,0
1604624400000,1604779200000,1.88,4,61.56,-1.0,3
1604858400000,1604908800000,0.73,4,49.53,-1.0,1
1604952000000,1605020400000,0.67,4,38.06,-1.0,1
1605020400000,1605175200000,1.0,4,57.18,1.0,0
1605229200000,1605373200000,1.36,6,60.82,-1.0,2
1605373200000,1605427200000,0.51,4,62.65,1.0,0
1605675600000,1605798000000,0.24,4,50.85,1.0,1
1605924000000,1606042800000,1.55,4,63.08,-1.0,0
1606042800000,1606125600000,0.51,4,62.93,1.0,0
1606125600000,1606197600000,1.0,4,48.46,-1.0,1
1606410000000,1606593600000,1.5,6,47.95,1.0,1
1606611600000,1606748400000,3.26,4,57.6,1.0,3
1606921200000,1607011200000,0.73,4,53.56,1.0,0
1607011200000,1607050800000,0.73,4,62.35,-1.0,0
